NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KAT2B	76	2.940985918045044	-0.037837654	No	
row_1	RNU6ATAC	149	-2.7521371841430664	-0.07416633	No	
row_2	RNU4ATAC	332	-2.9417386054992676	-0.22287197	No	
row_3	RNU4-1	539	-3.2960586547851562	-0.39166313	No	
row_4	RNU2-1	606	-3.4604945182800293	-0.4116815	No	
row_5	RNU4-2	612	-3.468923330307007	-0.3677729	No	
row_6	RNVU1-6	715	-3.8240532875061035	-0.42029822	Yes	
row_7	RNVU1-14	732	-3.8655011653900146	-0.38227823	Yes	
row_8	RNU5D-1	735	-3.874344825744629	-0.32948864	Yes	
row_9	RNVU1-2A	755	-3.941316843032837	-0.29353276	Yes	
row_10	PUS1	778	-4.007259368896484	-0.25978085	Yes	
row_11	HNRNPA1L2	786	-4.031564712524414	-0.2099943	Yes	
row_12	RNVU1-19	805	-4.101543426513672	-0.17072272	Yes	
row_13	AFF2	818	-4.153828144073486	-0.124434374	Yes	
row_14	AHNAK2	842	-4.21345853805542	-0.08880761	Yes	
row_15	TSEN54	921	-4.692781448364258	-0.10392242	Yes	
row_16	RNVU1-7	950	-5.310695648193359	-0.057982974	Yes	
row_17	RNU11	961	-5.717841148376465	0.012552304	Yes	
